Imputation Iteration #,RMSE,R,AUC,Top1,R2,Scoring
0,1.4674292250588803,0.5756896679064052,0.8936088299042521,0.47779960707269153,0.3133307208291244,Individual
0,1.4665451823087405,0.5786730557075053,0.8933118326009433,0.4765085602020769,0.33241338573399537,Individual
0,1.4749271125907322,0.5671740372101919,0.8912529149877814,0.46707830479932644,0.2938976422858447,Individual
0,1.4774702669650859,0.5707684352528405,0.8939101296793345,0.48004490597810834,0.33667682407371247,Individual
0,1.4614861592748742,0.5812976416593271,0.8887615895775117,0.46309289924221164,0.29347460272734816,Individual
1,1.4594913190065515,0.5808922878240177,0.900317889018045,0.48066236317709793,0.3371838185535123,Individual
1,1.457338784523499,0.5786934563098347,0.8980143229036475,0.4791467864159416,0.32124246028007286,Individual
1,1.464980137264341,0.5802602715221912,0.8983987640814035,0.47527364580409764,0.2951997970250252,Individual
1,1.4587964101507218,0.5796615697740614,0.8977983133269569,0.46842548414257645,0.34072758857075036,Individual
1,1.4539731982838344,0.584037653768161,0.8965629059501683,0.4762840303115352,0.3247009463973666,Individual
2,1.4505962821706224,0.5849972410826286,0.897764189376418,0.4780802694358687,0.29757354186313056,Individual
2,1.4623467296968002,0.5797496949710872,0.8939806733796549,0.4831321919730564,0.3265028744804016,Individual
2,1.4539945585726066,0.5833051414674484,0.894973973941497,0.4756104406399102,0.3258541083629042,Individual
2,1.4516852207976187,0.5884470999306758,0.8996567114700927,0.4817288801571709,0.34372499802005463,Individual
2,1.451091753796518,0.5874166454053564,0.8956470032294275,0.48301992702778557,0.3181373209361097,Individual
3,1.4518771179949301,0.5830811538940035,0.8981059158174096,0.47605950042099354,0.34870416097426005,Individual
3,1.4590391373851659,0.5794200618953317,0.8966086072606508,0.4747684535503789,0.33027412726089334,Individual
3,1.4521058293535956,0.5844036356645292,0.8968608582841457,0.47207409486387875,0.3262262848846562,Individual
3,1.4552306685473333,0.5848111843958252,0.8994160329513868,0.476789222565254,0.3206483081305457,Individual
3,1.4513491612526335,0.5858769583257424,0.8969537650775804,0.479202918888577,0.29308555905570255,Individual
4,1.4598164319383828,0.5802326391500437,0.8976530558368901,0.4751052483861914,0.32619710326937534,Individual
4,1.461397908536624,0.5790273026826949,0.8965328756251542,0.4707269155206287,0.31055644284934014,Individual
4,1.4577649693276213,0.5813836633503022,0.898397299103667,0.4744316587145664,0.327132982232607,Individual
4,1.4531250682591075,0.5839933082118723,0.8997083448315057,0.4809991580129105,0.341055611415751,Individual
4,1.4659738455936915,0.5730465308504932,0.8994002886059637,0.4841987089531294,0.27999900535661315,Individual
5,1.4476092414639183,0.5872807408035003,0.8971098469953239,0.47864159416222285,0.32438310347926125,Individual
5,1.4521113197645998,0.584779048870009,0.8977287640694637,0.47403873140611846,0.3300676812859875,Individual
5,1.4510175391276037,0.5829064227109062,0.8963284345492727,0.47347740667976423,0.33398315901857356,Individual
5,1.4543271840172307,0.5816597047007896,0.8959576435043952,0.48189727757507717,0.3279482478602467,Individual
5,1.452896707882663,0.5837842023266746,0.898513762917476,0.4751052483861914,0.3298013172878955,Individual
6,1.457580657465465,0.580622773543722,0.8987905897291075,0.47836093179904576,0.3327994633375463,Individual
6,1.463249126234472,0.5780015217613236,0.8968556888264265,0.47970811114229583,0.3170851948600647,Individual
6,1.4474941784926179,0.5863922265304143,0.8971824666194367,0.47948358125175417,0.33040432131753306,Individual
6,1.4559333091446842,0.5826587465219197,0.8969905535252318,0.47779960707269153,0.3232406006320696,Individual
6,1.4582661091262177,0.5806377358460078,0.8974247475618914,0.46893067639629527,0.3058771914563627,Individual
0,1.4674292250588803,0.5756896679064052,0.8936088299042521,0.47779960707269153,0.3133307208291244,Ensemble
0,1.4665451823087405,0.5786730557075053,0.8933118326009433,0.4765085602020769,0.33241338573399537,Ensemble
0,1.4749271125907322,0.5671740372101919,0.8912529149877814,0.46707830479932644,0.2938976422858447,Ensemble
0,1.4774702669650859,0.5707684352528405,0.8939101296793345,0.48004490597810834,0.33667682407371247,Ensemble
0,1.4614861592748742,0.5812976416593271,0.8887615895775117,0.46309289924221164,0.29347460272734816,Ensemble
1,1.4462597128075312,0.5883527261554192,0.8972845376246837,0.4781364019085041,0.3429691946001583,Ensemble
1,1.4501819069435995,0.5894717024597308,0.8991565754037344,0.4799326410328375,0.3251396912312179,Ensemble
1,1.457339099664751,0.579313535504206,0.8967209127269841,0.48403031153522313,0.3325309161896085,Ensemble
1,1.4490644241906718,0.5886545831027404,0.8981605766401773,0.4803255683412854,0.3384339179431113,Ensemble
1,1.4631340974917622,0.5776052405674594,0.897407948490242,0.4842548414257648,0.3217464592875162,Ensemble
2,1.4516354566504488,0.5866908123607906,0.8972308694228364,0.47460005613247264,0.29678119808916426,Ensemble
2,1.4456158005311563,0.5885332932376898,0.8979717612197078,0.48212180746561883,0.33996847040505707,Ensemble
2,1.4420950606333585,0.5927559723152248,0.9014626897956496,0.49127140050519225,0.3511230336402693,Ensemble
2,1.446629058672691,0.5858900938614691,0.894994598975338,0.47830479932641035,0.33982863806626584,Ensemble
2,1.4513782807231121,0.5841069360842549,0.8967332198648419,0.4804939657591917,0.32938861204484693,Ensemble
3,1.4487152781371728,0.5866510315059571,0.896058582587014,0.4791467864159416,0.32790317870614505,Ensemble
3,1.450477233860501,0.5864544022096913,0.897137163931614,0.4751613808588268,0.3483896156379318,Ensemble
3,1.44946863127368,0.5874442241462343,0.8988649763439291,0.48010103845074376,0.31743945721670486,Ensemble
3,1.4519382270141399,0.5832101821507969,0.8962956365534155,0.4776312096547853,0.33528199124392255,Ensemble
3,1.450635980373412,0.5878882327876598,0.8956368165114628,0.47785573954532695,0.3300727333372113,Ensemble
4,1.4578730195818712,0.5810427402836704,0.8986184969372798,0.482009542520348,0.30755382200298753,Ensemble
4,1.4540446852314328,0.5830054243614008,0.8997849799440659,0.4802133033960146,0.3219131737630653,Ensemble
4,1.4481788970930118,0.5882971355387814,0.9004387309125391,0.4827392646646085,0.3360962410838586,Ensemble
4,1.4483222179143496,0.5877372206531228,0.8991722338946669,0.4843109738984002,0.31661500046683877,Ensemble
4,1.446981022917797,0.588055787042719,0.8984764300006596,0.4774066797642436,0.3371339923404584,Ensemble
5,1.4595766038522482,0.5808960483229749,0.898915512033623,0.48004490597810834,0.2991844327589811,Ensemble
5,1.4483191413274001,0.5864751774697784,0.8973513945999797,0.4827392646646085,0.3351969047340796,Ensemble
5,1.4514734701900482,0.583238293479544,0.8987917262283202,0.47527364580409764,0.33805696235693095,Ensemble
5,1.4502444412716267,0.5848817895736369,0.8962187454937587,0.47690148751052486,0.3316279734485189,Ensemble
5,1.4442120192515784,0.5888542543899916,0.898856786767619,0.47572270558518104,0.3398497716857565,Ensemble
6,1.4572556273001722,0.5816211870010388,0.8984224315314169,0.4825147347740668,0.34372855598006535,Ensemble
6,1.4573616984853013,0.5797554558063135,0.8993239616885541,0.4776312096547853,0.2940771837161057,Ensemble
6,1.4501342201085359,0.5841378089808783,0.8942638760329176,0.4707830479932641,0.31175893354789874,Ensemble
6,1.445507996262648,0.5891361128220489,0.8987888776850241,0.48088689306763965,0.3441723377158955,Ensemble
6,1.454456140056132,0.5819916272731221,0.8968367724286064,0.48414257648049397,0.3325007056831172,Ensemble
